year,week,week_start,age,vax,metric,value
2021,32,2021-08-08,12-17,vaxxed,deathrate,0
2021,32,2021-08-08,12-17,unvaxxed,deathrate,0
2021,32,2021-08-08,18-49,vaxxed,caserate,94.92165318681994
2021,32,2021-08-08,18-49,unvaxxed,caserate,327.3375237107934
2021,32,2021-08-08,18-49,vaxxed,hosprate,0.8440890744179622
2021,32,2021-08-08,18-49,unvaxxed,hosprate,16.73999659149467
2021,32,2021-08-08,18-49,vaxxed,deathrate,0.07673537040163293
2021,32,2021-08-08,18-49,unvaxxed,deathrate,0.20168670592162247
2021,32,2021-08-08,50-64,vaxxed,caserate,79.0369805820509
2021,32,2021-08-08,50-64,unvaxxed,caserate,236.07952592840513
2021,32,2021-08-08,50-64,vaxxed,hosprate,2.1812153732059505
2021,32,2021-08-08,50-64,unvaxxed,hosprate,28.38931007999809
2021,32,2021-08-08,50-64,vaxxed,deathrate,0
2021,32,2021-08-08,50-64,unvaxxed,deathrate,2.9883484294734832
2021,32,2021-08-08,65+,vaxxed,caserate,71.37127754586807
2021,32,2021-08-08,65+,unvaxxed,caserate,352.0300398967379
2021,32,2021-08-08,65+,vaxxed,hosprate,11.960214087832172
2021,32,2021-08-08,65+,unvaxxed,hosprate,97.22734435243235
2021,32,2021-08-08,65+,vaxxed,deathrate,2.7300488678747348
2021,32,2021-08-08,65+,unvaxxed,deathrate,23.46866932644919
2021,33,2021-08-15,12-17,vaxxed,caserate,37.379684141669
2021,33,2021-08-15,12-17,unvaxxed,caserate,241.44517645750685
2021,33,2021-08-15,12-17,vaxxed,hosprate,0
2021,33,2021-08-15,12-17,unvaxxed,hosprate,3.1769102165461427
2021,33,2021-08-15,12-17,vaxxed,deathrate,0
2021,33,2021-08-15,12-17,unvaxxed,deathrate,0
2021,33,2021-08-15,18-49,vaxxed,caserate,117.51489880238381
2021,33,2021-08-15,18-49,unvaxxed,caserate,392.6493595384765
2021,33,2021-08-15,18-49,vaxxed,hosprate,1.2185601949696312
2021,33,2021-08-15,18-49,unvaxxed,hosprate,16.80600371565464
2021,33,2021-08-15,18-49,vaxxed,deathrate,0.1523200243712039
2021,33,2021-08-15,18-49,unvaxxed,deathrate,0.5092728398683224
2021,33,2021-08-15,50-64,vaxxed,caserate,101.04352024894261
2021,33,2021-08-15,50-64,unvaxxed,caserate,309.4956278081067
2021,33,2021-08-15,50-64,vaxxed,hosprate,2.6825713340427244
2021,33,2021-08-15,50-64,unvaxxed,hosprate,38.34726315280932
