age,doses,filed_date,report_date
12-15,418395,2022-03-09,2022-03-11
16-17,227105,2022-03-09,2022-03-11
18-49,3882269,2022-03-09,2022-03-11
5-11,392213,2022-03-09,2022-03-11
50-64,2251014,2022-03-09,2022-03-11
65+,2288094,2022-03-09,2022-03-11
Unknown/missing,554,2022-03-09,2022-03-11
12-15,418012,2022-03-08,2022-03-10
16-17,226941,2022-03-08,2022-03-10
18-49,3880448,2022-03-08,2022-03-10
5-11,391734,2022-03-08,2022-03-10
50-64,2250351,2022-03-08,2022-03-10
65+,2287566,2022-03-08,2022-03-10
Unknown/missing,550,2022-03-08,2022-03-10
12-15,417647,2022-03-07,2022-03-09
16-17,226758,2022-03-07,2022-03-09
18-49,3878557,2022-03-07,2022-03-09
5-11,391287,2022-03-07,2022-03-09
50-64,2249842,2022-03-07,2022-03-09
65+,2288525,2022-03-07,2022-03-09
Unknown/missing,547,2022-03-07,2022-03-09
12-15,417251,2022-03-06,2022-03-08
16-17,226601,2022-03-06,2022-03-08
18-49,3876891,2022-03-06,2022-03-08
5-11,390620,2022-03-06,2022-03-08
50-64,2249186,2022-03-06,2022-03-08
65+,2288051,2022-03-06,2022-03-08
Unknown/missing,546,2022-03-06,2022-03-08
12-15,416263,2022-03-03,2022-03-05
16-17,226167,2022-03-03,2022-03-05
18-49,3872047,2022-03-03,2022-03-05
5-11,389342,2022-03-03,2022-03-05
50-64,2247693,2022-03-03,2022-03-05
65+,2287217,2022-03-03,2022-03-05
Unknown/missing,538,2022-03-03,2022-03-05
12-15,415889,2022-03-02,2022-03-04
16-17,225985,2022-03-02,2022-03-04
18-49,3869937,2022-03-02,2022-03-04
5-11,388776,2022-03-02,2022-03-04
50-64,2246907,2022-03-02,2022-03-04
65+,2286555,2022-03-02,2022-03-04
Unknown/missing,537,2022-03-02,2022-03-04
12-15,415481,2022-03-01,2022-03-03
16-17,225794,2022-03-01,2022-03-03
18-49,3867708,2022-03-01,2022-03-03
5-11,388187,2022-03-01,2022-03-03
50-64,2246146,2022-03-01,2022-03-03
65+,2285870,2022-03-01,2022-03-03
Unknown/missing,533,2022-03-01,2022-03-03
12-15,415025,2022-02-28,2022-03-02
16-17,225584,2022-02-28,2022-03-02
18-49,3865370,2022-02-28,2022-03-02
5-11,387203,2022-02-28,2022-03-02
50-64,2245474,2022-02-28,2022-03-02
65+,2286400,2022-02-28,2022-03-02
Unknown/missing,531,2022-02-28,2022-03-02
12-15,414417,2022-02-27,2022-03-01
16-17,225329,2022-02-27,2022-03-01
18-49,3862923,2022-02-27,2022-03-01
5-11,385651,2022-02-27,2022-03-01
50-64,2244550,2022-02-27,2022-03-01
65+,2285568,2022-02-27,2022-03-01
Unknown/missing,525,2022-02-27,2022-03-01
12-15,413251,2022-02-24,2022-02-26
16-17,224850,2022-02-24,2022-02-26
18-49,3857928,2022-02-24,2022-02-26
5-11,382668,2022-02-24,2022-02-26
50-64,2242891,2022-02-24,2022-02-26
65+,2284333,2022-02-24,2022-02-26
Unknown/missing,520,2022-02-24,2022-02-26
12-15,412760,2022-02-23,2022-02-25
16-17,224631,2022-02-23,2022-02-25
18-49,3855413,2022-02-23,2022-02-25
5-11,381424,2022-02-23,2022-02-25
50-64,2241901,2022-02-23,2022-02-25
65+,2283448,2022-02-23,2022-02-25
Unknown/missing,516,2022-02-23,2022-02-25
12-15,412275,2022-02-22,2022-02-24
16-17,224380,2022-02-22,2022-02-24
18-49,3852677,2022-02-22,2022-02-24
5-11,380358,2022-02-22,2022-02-24
50-64,2241248,2022-02-22,2022-02-24
65+,2284614,2022-02-22,2022-02-24
