age_group,cases,deaths,date
70-79 years,1951,293,2020-07-19
80-89 years,1707,522,2020-07-19
90-99 years,890,397,2020-07-19
100+ years,52,30,2020-07-19
Unknown/missing,3,0,2020-07-19
0-5 years,986,1,2020-07-20
6-19 years,4905,0,2020-07-20
20-29 years,10865,2,2020-07-20
30-39 years,8648,11,2020-07-20
40-49 years,6806,20,2020-07-20
50-59 years,6083,79,2020-07-20
60-69 years,3534,189,2020-07-20
70-79 years,1958,293,2020-07-20
80-89 years,1709,522,2020-07-20
90-99 years,890,398,2020-07-20
100+ years,51,30,2020-07-20
Unknown/missing,672,0,2020-07-20
0-5 years,1008,1,2020-07-21
6-19 years,5075,0,2020-07-21
20-29 years,11169,2,2020-07-21
30-39 years,8818,12,2020-07-21
40-49 years,6927,20,2020-07-21
50-59 years,6189,79,2020-07-21
60-69 years,3605,190,2020-07-21
70-79 years,1985,292,2020-07-21
80-89 years,1724,523,2020-07-21
90-99 years,897,399,2020-07-21
100+ years,51,30,2020-07-21
Unknown/missing,9,0,2020-07-21
0-5 years,1019,1,2020-07-22
6-19 years,5158,0,2020-07-22
20-29 years,11294,3,2020-07-22
30-39 years,8908,12,2020-07-22
40-49 years,6987,20,2020-07-22
50-59 years,6240,79,2020-07-22
60-69 years,3660,191,2020-07-22
70-79 years,2000,293,2020-07-22
80-89 years,1729,524,2020-07-22
90-99 years,904,399,2020-07-22
100+ years,51,30,2020-07-22
Unknown/missing,11,0,2020-07-22
0-5 years,1040,1,2020-07-23
6-19 years,5289,0,2020-07-23
20-29 years,11488,3,2020-07-23
30-39 years,9032,12,2020-07-23
40-49 years,7103,21,2020-07-23
50-59 years,6321,79,2020-07-23
60-69 years,3705,192,2020-07-23
70-79 years,2029,295,2020-07-23
80-89 years,1741,527,2020-07-23
90-99 years,911,401,2020-07-23
100+ years,52,30,2020-07-23
Unknown/missing,10,0,2020-07-23
0-5 years,1060,1,2020-07-24
6-19 years,5400,0,2020-07-24
20-29 years,11697,3,2020-07-24
30-39 years,9178,12,2020-07-24
40-49 years,7198,21,2020-07-24
50-59 years,6421,79,2020-07-24
60-69 years,3752,193,2020-07-24
70-79 years,2053,296,2020-07-24
80-89 years,1754,528,2020-07-24
90-99 years,913,402,2020-07-24
100+ years,52,31,2020-07-24
Unknown/missing,10,0,2020-07-24
0-5 years,1079,1,2020-07-25
6-19 years,5547,0,2020-07-25
20-29 years,11900,3,2020-07-25
30-39 years,9316,12,2020-07-25
40-49 years,7305,21,2020-07-25
50-59 years,6512,79,2020-07-25
60-69 years,3813,193,2020-07-25
70-79 years,2075,297,2020-07-25
80-89 years,1765,531,2020-07-25
90-99 years,916,403,2020-07-25
100+ years,52,31,2020-07-25
Unknown/missing,11,0,2020-07-25
0-5 years,1093,1,2020-07-26
6-19 years,5685,0,2020-07-26
20-29 years,12126,3,2020-07-26
30-39 years,9500,12,2020-07-26
40-49 years,7411,21,2020-07-26
50-59 years,6605,79,2020-07-26
60-69 years,3877,193,2020-07-26
70-79 years,2094,298,2020-07-26
80-89 years,1778,532,2020-07-26
90-99 years,919,404,2020-07-26
100+ years,53,31,2020-07-26
Unknown/missing,12,0,2020-07-26
0-5 years,1106,1,2020-07-27
6-19 years,5803,0,2020-07-27
20-29 years,12288,3,2020-07-27
30-39 years,9610,12,2020-07-27
40-49 years,7500,21,2020-07-27
50-59 years,6677,79,2020-07-27
60-69 years,3926,193,2020-07-27
70-79 years,2120,299,2020-07-27
80-89 years,1786,533,2020-07-27
90-99 years,922,404,2020-07-27
100+ years,53,31,2020-07-27
Unknown/missing,12,0,2020-07-27
0-5 years,1116,1,2020-07-28
6-19 years,5878,0,2020-07-28
20-29 years,12406,3,2020-07-28
30-39 years,9690,12,2020-07-28
40-49 years,7565,21,2020-07-28
50-59 years,6736,79,2020-07-28
60-69 years,3966,194,2020-07-28
70-79 years,2139,299,2020-07-28
80-89 years,1793,534,2020-07-28
90-99 years,927,406,2020-07-28
100+ years,53,31,2020-07-28
Unknown/missing,12,0,2020-07-28
0-5 years,1138,1,2020-07-29
6-19 years,6003,0,2020-07-29
20-29 years,12569,3,2020-07-29
30-39 years,9798,12,2020-07-29
40-49 years,7665,21,2020-07-29
50-59 years,6795,80,2020-07-29
60-69 years,4023,194,2020-07-29
70-79 years,2166,302,2020-07-29
80-89 years,1797,536,2020-07-29
90-99 years,932,409,2020-07-29
100+ years,53,31,2020-07-29
Unknown/missing,8,0,2020-07-29
0-5 years,1158,1,2020-07-30
6-19 years,6131,0,2020-07-30
20-29 years,12728,3,2020-07-30
30-39 years,9940,13,2020-07-30
40-49 years,7762,21,2020-07-30
50-59 years,6886,80,2020-07-30
60-69 years,4090,194,2020-07-30
70-79 years,2192,302,2020-07-30
80-89 years,1805,537,2020-07-30
90-99 years,939,412,2020-07-30
100+ years,53,31,2020-07-30
Unknown/missing,8,0,2020-07-30
0-5 years,1175,1,2020-07-31
6-19 years,6251,0,2020-07-31
20-29 years,12915,4,2020-07-31
30-39 years,10080,13,2020-07-31
40-49 years,7864,21,2020-07-31
50-59 years,6986,80,2020-07-31
60-69 years,4147,194,2020-07-31
70-79 years,2216,303,2020-07-31
80-89 years,1820,539,2020-07-31
90-99 years,947,414,2020-07-31
100+ years,54,31,2020-07-31
Unknown/missing,8,0,2020-07-31
0-5 years,1198,1,2020-08-01
6-19 years,6363,0,2020-08-01
20-29 years,13071,4,2020-08-01
30-39 years,10209,13,2020-08-01
40-49 years,7955,22,2020-08-01
50-59 years,7085,81,2020-08-01
60-69 years,4195,195,2020-08-01
70-79 years,2254,305,2020-08-01
80-89 years,1844,539,2020-08-01
90-99 years,950,415,2020-08-01
100+ years,54,31,2020-08-01
Unknown/missing,10,0,2020-08-01
0-5 years,1220,1,2020-08-02
6-19 years,6466,0,2020-08-02
20-29 years,13231,4,2020-08-02
30-39 years,10330,14,2020-08-02
40-49 years,8057,22,2020-08-02
50-59 years,7197,81,2020-08-02
60-69 years,4253,196,2020-08-02
70-79 years,2295,307,2020-08-02
80-89 years,1872,540,2020-08-02
90-99 years,962,417,2020-08-02
100+ years,54,32,2020-08-02
Unknown/missing,10,0,2020-08-02
0-5 years,1220,1,2020-08-03
6-19 years,6466,0,2020-08-03
20-29 years,13231,4,2020-08-03
30-39 years,10330,14,2020-08-03
40-49 years,8057,22,2020-08-03
50-59 years,7197,81,2020-08-03
60-69 years,4253,196,2020-08-03
70-79 years,2295,307,2020-08-03
80-89 years,1872,540,2020-08-03
90-99 years,962,417,2020-08-03
100+ years,54,32,2020-08-03
Unknown/missing,10,0,2020-08-03
0-5 years,1272,1,2020-08-04
6-19 years,6678,0,2020-08-04
20-29 years,13488,4,2020-08-04
30-39 years,10542,14,2020-08-04
40-49 years,8225,22,2020-08-04
50-59 years,7354,82,2020-08-04
60-69 years,4347,197,2020-08-04
70-79 years,2334,309,2020-08-04
80-89 years,1887,542,2020-08-04
90-99 years,971,417,2020-08-04
100+ years,54,32,2020-08-04
Unknown/missing,10,0,2020-08-04
0-5 years,1291,1,2020-08-05
6-19 years,6781,0,2020-08-05
20-29 years,13637,4,2020-08-05
30-39 years,10651,14,2020-08-05
40-49 years,8307,22,2020-08-05
50-59 years,7437,82,2020-08-05
60-69 years,4386,199,2020-08-05
70-79 years,2358,311,2020-08-05
80-89 years,1896,545,2020-08-05
90-99 years,971,419,2020-08-05
100+ years,55,32,2020-08-05
Unknown/missing,9,0,2020-08-05
0-5 years,1304,1,2020-08-06
6-19 years,6939,0,2020-08-06
20-29 years,13814,4,2020-08-06
30-39 years,10783,14,2020-08-06
40-49 years,8458,22,2020-08-06
50-59 years,7533,82,2020-08-06
60-69 years,4455,200,2020-08-06
70-79 years,2387,315,2020-08-06
80-89 years,1922,547,2020-08-06
90-99 years,978,419,2020-08-06
100+ years,56,32,2020-08-06
Unknown/missing,11,0,2020-08-06
0-5 years,1320,1,2020-08-07
6-19 years,7027,0,2020-08-07
20-29 years,13924,4,2020-08-07
30-39 years,10865,14,2020-08-07
40-49 years,8526,22,2020-08-07
50-59 years,7619,83,2020-08-07
60-69 years,4500,200,2020-08-07
70-79 years,2412,315,2020-08-07
80-89 years,1932,549,2020-08-07
90-99 years,986,420,2020-08-07
100+ years,56,32,2020-08-07
Unknown/missing,18,0,2020-08-07
0-5 years,1345,1,2020-08-08
6-19 years,7186,0,2020-08-08
20-29 years,14107,4,2020-08-08
30-39 years,11019,14,2020-08-08
40-49 years,8675,22,2020-08-08
50-59 years,7739,86,2020-08-08
60-69 years,4564,202,2020-08-08
70-79 years,2444,317,2020-08-08
80-89 years,1950,550,2020-08-08
90-99 years,998,420,2020-08-08
100+ years,56,32,2020-08-08
Unknown/missing,18,0,2020-08-08
0-5 years,1374,1,2020-08-09
6-19 years,7349,0,2020-08-09
20-29 years,14253,4,2020-08-09
30-39 years,11163,14,2020-08-09
40-49 years,8784,22,2020-08-09
50-59 years,7822,86,2020-08-09
60-69 years,4629,203,2020-08-09
70-79 years,2479,320,2020-08-09
80-89 years,1969,555,2020-08-09
90-99 years,1001,420,2020-08-09
100+ years,57,32,2020-08-09
Unknown/missing,18,0,2020-08-09
0-5 years,1391,1,2020-08-10
6-19 years,7451,0,2020-08-10
20-29 years,14377,4,2020-08-10
30-39 years,11275,14,2020-08-10
40-49 years,8884,22,2020-08-10
50-59 years,7891,86,2020-08-10
60-69 years,4680,204,2020-08-10
70-79 years,2502,320,2020-08-10
80-89 years,1984,556,2020-08-10
90-99 years,1006,421,2020-08-10
100+ years,57,32,2020-08-10
Unknown/missing,18,0,2020-08-10
0-5 years,1397,1,2020-08-11
6-19 years,7507,0,2020-08-11
20-29 years,14447,4,2020-08-11
30-39 years,11332,14,2020-08-11
40-49 years,8931,23,2020-08-11
50-59 years,7928,86,2020-08-11
60-69 years,4697,205,2020-08-11
70-79 years,2522,320,2020-08-11
80-89 years,1995,559,2020-08-11
90-99 years,1008,422,2020-08-11
100+ years,57,32,2020-08-11
Unknown/missing,18,0,2020-08-11
0-5 years,1407,1,2020-08-12
6-19 years,7597,0,2020-08-12
20-29 years,14539,4,2020-08-12
30-39 years,11399,14,2020-08-12
40-49 years,9013,23,2020-08-12
50-59 years,7988,87,2020-08-12
60-69 years,4731,206,2020-08-12
70-79 years,2542,322,2020-08-12
80-89 years,2010,565,2020-08-12
90-99 years,1013,424,2020-08-12
100+ years,57,32,2020-08-12
Unknown/missing,7,0,2020-08-12
0-5 years,1430,1,2020-08-13
6-19 years,7704,0,2020-08-13
20-29 years,14699,4,2020-08-13
30-39 years,11502,14,2020-08-13
40-49 years,9117,24,2020-08-13
50-59 years,8077,88,2020-08-13
60-69 years,4790,206,2020-08-13
70-79 years,2567,325,2020-08-13
80-89 years,2023,566,2020-08-13
90-99 years,1019,425,2020-08-13
100+ years,57,32,2020-08-13
Unknown/missing,8,0,2020-08-13
0-5 years,1453,1,2020-08-14
6-19 years,7831,0,2020-08-14
20-29 years,14849,4,2020-08-14
30-39 years,11635,14,2020-08-14
40-49 years,9212,24,2020-08-14
50-59 years,8164,89,2020-08-14
60-69 years,4846,207,2020-08-14
70-79 years,2594,326,2020-08-14
80-89 years,2045,569,2020-08-14
90-99 years,1028,426,2020-08-14
100+ years,57,32,2020-08-14
Unknown/missing,9,1,2020-08-14
0-5 years,1473,1,2020-08-15
6-19 years,7980,0,2020-08-15
20-29 years,14980,4,2020-08-15
30-39 years,11755,14,2020-08-15
40-49 years,9311,24,2020-08-15
50-59 years,8250,89,2020-08-15
60-69 years,4887,207,2020-08-15
70-79 years,2615,329,2020-08-15
80-89 years,2058,572,2020-08-15
90-99 years,1037,426,2020-08-15
100+ years,58,32,2020-08-15
Unknown/missing,9,1,2020-08-15
0-5 years,1491,1,2020-08-16
6-19 years,8102,0,2020-08-16
20-29 years,15163,4,2020-08-16
30-39 years,11867,14,2020-08-16
40-49 years,9417,24,2020-08-16
50-59 years,8341,90,2020-08-16
60-69 years,4931,207,2020-08-16
70-79 years,2651,332,2020-08-16
80-89 years,2080,574,2020-08-16
90-99 years,1041,427,2020-08-16
100+ years,58,32,2020-08-16
Unknown/missing,10,1,2020-08-16
0-5 years,1503,1,2020-08-17
6-19 years,8214,0,2020-08-17
20-29 years,15269,4,2020-08-17
30-39 years,11964,14,2020-08-17
40-49 years,9502,24,2020-08-17
50-59 years,8405,90,2020-08-17
60-69 years,4964,208,2020-08-17
70-79 years,2676,333,2020-08-17
80-89 years,2100,575,2020-08-17
90-99 years,1050,430,2020-08-17
100+ years,59,32,2020-08-17
Unknown/missing,10,1,2020-08-17
0-5 years,1517,1,2020-08-18
6-19 years,8262,0,2020-08-18
20-29 years,15341,4,2020-08-18
30-39 years,12018,14,2020-08-18
40-49 years,9554,24,2020-08-18
50-59 years,8441,91,2020-08-18
60-69 years,4991,209,2020-08-18
70-79 years,2697,339,2020-08-18
80-89 years,2113,576,2020-08-18
90-99 years,1059,431,2020-08-18
100+ years,59,32,2020-08-18
Unknown/missing,9,0,2020-08-18
0-5 years,1527,1,2020-08-19
6-19 years,8354,0,2020-08-19
20-29 years,15431,4,2020-08-19
30-39 years,12116,14,2020-08-19
40-49 years,9639,24,2020-08-19
50-59 years,8507,91,2020-08-19
60-69 years,5048,210,2020-08-19
70-79 years,2728,345,2020-08-19
80-89 years,2131,580,2020-08-19
90-99 years,1068,437,2020-08-19
100+ years,59,32,2020-08-19
Unknown/missing,10,0,2020-08-19
0-4 years,1317,1,2020-08-20
5-9 years,1240,0,2020-08-20
10-14 years,1822,0,2020-08-20
15-19 years,5649,0,2020-08-20
20-24 years,8642,1,2020-08-20
25-29 years,6916,3,2020-08-20
30-34 years,6431,6,2020-08-20
35-39 years,5794,8,2020-08-20
40-44 years,5039,10,2020-08-20
45-49 years,4702,15,2020-08-20
50-54 years,4562,38,2020-08-20
55-59 years,4035,53,2020-08-20
60-64 years,3074,91,2020-08-20
65-69 years,2042,120,2020-08-20
70-74 years,1523,172,2020-08-20
75-79 years,1226,175,2020-08-20
80-84 years,1153,287,2020-08-20
85-89 years,992,295,2020-08-20
90-94 years,740,282,2020-08-20
95-99 years,339,156,2020-08-20
100+ years,59,32,2020-08-20
Unknown/missing,11,0,2020-08-20
0-4 years,1338,1,2020-08-21
5-9 years,1258,0,2020-08-21
10-14 years,1856,0,2020-08-21
15-19 years,5734,0,2020-08-21
20-24 years,8743,1,2020-08-21
25-29 years,6997,3,2020-08-21
30-34 years,6489,6,2020-08-21
35-39 years,5857,8,2020-08-21
40-44 years,5104,10,2020-08-21
45-49 years,4760,16,2020-08-21
50-54 years,4629,38,2020-08-21
55-59 years,4077,53,2020-08-21
60-64 years,3106,91,2020-08-21
65-69 years,2075,121,2020-08-21
70-74 years,1543,174,2020-08-21
75-79 years,1242,176,2020-08-21
80-84 years,1162,289,2020-08-21
85-89 years,1001,296,2020-08-21
90-94 years,750,282,2020-08-21
95-99 years,341,156,2020-08-21
100+ years,60,32,2020-08-21
Unknown/missing,11,0,2020-08-21
0-4 years,1356,1,2020-08-22
5-9 years,1275,0,2020-08-22
10-14 years,1882,0,2020-08-22
15-19 years,5818,0,2020-08-22
20-24 years,8850,1,2020-08-22
25-29 years,7065,3,2020-08-22
30-34 years,6542,6,2020-08-22
35-39 years,5920,8,2020-08-22
40-44 years,5158,10,2020-08-22
45-49 years,4798,16,2020-08-22
50-54 years,4672,39,2020-08-22
55-59 years,4131,53,2020-08-22
60-64 years,3130,91,2020-08-22
65-69 years,2100,121,2020-08-22
70-74 years,1565,174,2020-08-22
75-79 years,1254,178,2020-08-22
80-84 years,1166,289,2020-08-22
85-89 years,1010,299,2020-08-22
90-94 years,757,284,2020-08-22
95-99 years,346,156,2020-08-22
100+ years,60,32,2020-08-22
Unknown/missing,12,0,2020-08-22
0-4 years,1374,1,2020-08-23
5-9 years,1297,0,2020-08-23
10-14 years,1907,0,2020-08-23
15-19 years,5907,0,2020-08-23
20-24 years,8943,1,2020-08-23
25-29 years,7120,3,2020-08-23
30-34 years,6604,6,2020-08-23
35-39 years,5983,8,2020-08-23
40-44 years,5205,10,2020-08-23
45-49 years,4851,17,2020-08-23
50-54 years,4723,39,2020-08-23
55-59 years,4173,53,2020-08-23
60-64 years,3154,91,2020-08-23
65-69 years,2118,121,2020-08-23
70-74 years,1577,177,2020-08-23
75-79 years,1268,178,2020-08-23
80-84 years,1178,290,2020-08-23
85-89 years,1018,299,2020-08-23
90-94 years,765,285,2020-08-23
95-99 years,348,156,2020-08-23
100+ years,60,32,2020-08-23
Unknown/missing,11,0,2020-08-23
0-4 years,1390,1,2020-08-24
5-9 years,1313,0,2020-08-24
10-14 years,1941,0,2020-08-24
15-19 years,5981,0,2020-08-24
20-24 years,9023,1,2020-08-24
25-29 years,7178,3,2020-08-24
30-34 years,6658,6,2020-08-24
35-39 years,6031,9,2020-08-24
40-44 years,5265,10,2020-08-24
45-49 years,4901,17,2020-08-24
50-54 years,4785,39,2020-08-24
55-59 years,4216,53,2020-08-24
60-64 years,3189,91,2020-08-24
65-69 years,2133,121,2020-08-24
70-74 years,1594,177,2020-08-24
75-79 years,1286,178,2020-08-24
80-84 years,1186,290,2020-08-24
85-89 years,1028,300,2020-08-24
90-94 years,776,287,2020-08-24
95-99 years,351,156,2020-08-24
100+ years,61,32,2020-08-24
Unknown/missing,12,0,2020-08-24
0-4 years,1401,1,2020-08-25
5-9 years,1324,0,2020-08-25
10-14 years,1954,0,2020-08-25
15-19 years,6032,0,2020-08-25
20-24 years,9079,1,2020-08-25
25-29 years,7217,3,2020-08-25
30-34 years,6688,6,2020-08-25
35-39 years,6061,9,2020-08-25
40-44 years,5284,10,2020-08-25
45-49 years,4925,17,2020-08-25
50-54 years,4817,39,2020-08-25
55-59 years,4246,53,2020-08-25
60-64 years,3205,92,2020-08-25
65-69 years,2150,122,2020-08-25
70-74 years,1605,179,2020-08-25
75-79 years,1294,179,2020-08-25
80-84 years,1190,292,2020-08-25
85-89 years,1034,301,2020-08-25
90-94 years,777,287,2020-08-25
95-99 years,351,156,2020-08-25
100+ years,61,32,2020-08-25
Unknown/missing,12,0,2020-08-25
0-4 years,1413,1,2020-08-26
5-9 years,1328,0,2020-08-26
10-14 years,1965,0,2020-08-26
15-19 years,6072,0,2020-08-26
20-24 years,9166,1,2020-08-26
25-29 years,7258,3,2020-08-26
30-34 years,6735,7,2020-08-26
35-39 years,6106,10,2020-08-26
40-44 years,5330,10,2020-08-26
45-49 years,4959,17,2020-08-26
50-54 years,4848,40,2020-08-26
55-59 years,4286,54,2020-08-26
60-64 years,3232,92,2020-08-26
65-69 years,2164,124,2020-08-26
70-74 years,1620,180,2020-08-26
75-79 years,1309,182,2020-08-26
80-84 years,1202,293,2020-08-26
85-89 years,1039,302,2020-08-26
90-94 years,779,288,2020-08-26
95-99 years,352,157,2020-08-26
100+ years,61,32,2020-08-26
Unknown/missing,12,0,2020-08-26
0-4 years,1431,1,2020-08-27
5-9 years,1354,0,2020-08-27
10-14 years,2012,0,2020-08-27
15-19 years,6244,0,2020-08-27
20-24 years,9363,1,2020-08-27
25-29 years,7345,3,2020-08-27
30-34 years,6827,7,2020-08-27
35-39 years,6176,10,2020-08-27
40-44 years,5408,10,2020-08-27
45-49 years,5040,17,2020-08-27
50-54 years,4933,41,2020-08-27
55-59 years,4360,55,2020-08-27
60-64 years,3274,92,2020-08-27
65-69 years,2186,124,2020-08-27
70-74 years,1644,185,2020-08-27
75-79 years,1321,184,2020-08-27
80-84 years,1209,295,2020-08-27
85-89 years,1051,303,2020-08-27
90-94 years,786,289,2020-08-27
95-99 years,352,157,2020-08-27
100+ years,61,32,2020-08-27
Unknown/missing,13,0,2020-08-27
0-4 years,1445,1,2020-08-28
5-9 years,1374,0,2020-08-28
10-14 years,2040,0,2020-08-28
15-19 years,6340,0,2020-08-28
20-24 years,9508,1,2020-08-28
25-29 years,7430,3,2020-08-28
30-34 years,6898,7,2020-08-28
35-39 years,6234,10,2020-08-28
40-44 years,5464,10,2020-08-28
45-49 years,5098,17,2020-08-28
50-54 years,4985,41,2020-08-28
55-59 years,4402,55,2020-08-28
60-64 years,3315,92,2020-08-28
65-69 years,2213,124,2020-08-28
70-74 years,1669,186,2020-08-28
75-79 years,1339,184,2020-08-28
80-84 years,1213,297,2020-08-28
85-89 years,1056,304,2020-08-28
90-94 years,791,289,2020-08-28
95-99 years,353,157,2020-08-28
100+ years,61,32,2020-08-28
Unknown/missing,12,0,2020-08-28
0-4 years,1470,1,2020-08-29
5-9 years,1391,0,2020-08-29
10-14 years,2077,0,2020-08-29
15-19 years,6486,0,2020-08-29
20-24 years,9734,1,2020-08-29
25-29 years,7505,3,2020-08-29
30-34 years,6975,7,2020-08-29
35-39 years,6280,10,2020-08-29
40-44 years,5521,10,2020-08-29
45-49 years,5157,17,2020-08-29
50-54 years,5043,41,2020-08-29
55-59 years,4467,55,2020-08-29
60-64 years,3354,92,2020-08-29
65-69 years,2246,124,2020-08-29
70-74 years,1691,186,2020-08-29
75-79 years,1351,184,2020-08-29
80-84 years,1222,297,2020-08-29
85-89 years,1064,306,2020-08-29
90-94 years,795,290,2020-08-29
95-99 years,355,158,2020-08-29
100+ years,62,32,2020-08-29
Unknown/missing,11,0,2020-08-29
0-4 years,1494,1,2020-08-30
5-9 years,1405,0,2020-08-30
10-14 years,2102,0,2020-08-30
15-19 years,6602,0,2020-08-30
20-24 years,9923,1,2020-08-30
25-29 years,7586,3,2020-08-30
30-34 years,7040,7,2020-08-30
35-39 years,6344,10,2020-08-30
40-44 years,5569,10,2020-08-30
45-49 years,5226,17,2020-08-30
50-54 years,5107,41,2020-08-30
55-59 years,4517,56,2020-08-30
60-64 years,3400,92,2020-08-30
65-69 years,2264,124,2020-08-30
70-74 years,1711,186,2020-08-30
75-79 years,1371,184,2020-08-30
80-84 years,1229,297,2020-08-30
85-89 years,1070,306,2020-08-30
90-94 years,798,291,2020-08-30
95-99 years,358,158,2020-08-30
100+ years,62,32,2020-08-30
Unknown/missing,11,0,2020-08-30
0-4 years,1515,1,2020-08-31
5-9 years,1423,0,2020-08-31
10-14 years,2128,0,2020-08-31
15-19 years,6683,0,2020-08-31
20-24 years,10040,1,2020-08-31
25-29 years,7644,3,2020-08-31
30-34 years,7086,7,2020-08-31
35-39 years,6386,10,2020-08-31
40-44 years,5608,10,2020-08-31
45-49 years,5272,17,2020-08-31
50-54 years,5151,41,2020-08-31
55-59 years,4553,56,2020-08-31
60-64 years,3437,92,2020-08-31
65-69 years,2288,124,2020-08-31
70-74 years,1721,187,2020-08-31
75-79 years,1384,184,2020-08-31
80-84 years,1237,297,2020-08-31
85-89 years,1075,306,2020-08-31
90-94 years,801,291,2020-08-31
95-99 years,360,158,2020-08-31
100+ years,62,32,2020-08-31
Unknown/missing,10,0,2020-08-31
0-4 years,1524,1,2020-09-01
5-9 years,1428,0,2020-09-01
10-14 years,2151,0,2020-09-01
15-19 years,6754,0,2020-09-01
20-24 years,10128,1,2020-09-01
25-29 years,7678,3,2020-09-01
30-34 years,7119,7,2020-09-01
35-39 years,6412,10,2020-09-01
40-44 years,5640,10,2020-09-01
45-49 years,5297,17,2020-09-01
50-54 years,5189,41,2020-09-01
55-59 years,4587,56,2020-09-01
60-64 years,3463,96,2020-09-01
65-69 years,2302,124,2020-09-01
70-74 years,1735,187,2020-09-01
75-79 years,1387,185,2020-09-01
80-84 years,1239,297,2020-09-01
85-89 years,1086,306,2020-09-01
90-94 years,802,292,2020-09-01
95-99 years,362,158,2020-09-01
100+ years,62,32,2020-09-01
Unknown/missing,10,0,2020-09-01
0-4 years,1544,1,2020-09-03
5-9 years,1462,0,2020-09-03
10-14 years,2217,0,2020-09-03
15-19 years,7036,0,2020-09-03
20-24 years,10424,1,2020-09-03
25-29 years,7845,3,2020-09-03
30-34 years,7228,7,2020-09-03
35-39 years,6521,10,2020-09-03
40-44 years,5763,10,2020-09-03
45-49 years,5412,17,2020-09-03
50-54 years,5315,42,2020-09-03
55-59 years,4682,56,2020-09-03
60-64 years,3535,97,2020-09-03
65-69 years,2355,126,2020-09-03
70-74 years,1769,188,2020-09-03
75-79 years,1411,185,2020-09-03
80-84 years,1257,300,2020-09-03
85-89 years,1102,309,2020-09-03
90-94 years,811,293,2020-09-03
95-99 years,365,160,2020-09-03
100+ years,63,32,2020-09-03
Unknown/missing,6,0,2020-09-03
0-4 years,1562,1,2020-09-04
5-9 years,1477,0,2020-09-04
10-14 years,2248,0,2020-09-04
15-19 years,7149,0,2020-09-04
