year,week,mmwr_startdate,mmwr_enddate,report_date,sex,pop_size,new_deaths,new_deaths_7day
2021,46,2021-11-14,2021-11-20,2022-12-29,Male,2770873,134,4.8
2021,46,2021-11-14,2021-11-20,2022-12-29,Total,5563378,215,3.9
2021,47,2021-11-21,2021-11-27,2022-12-29,Female,2792505,104,3.7
2021,47,2021-11-21,2021-11-27,2022-12-29,Male,2770873,139,5
2021,47,2021-11-21,2021-11-27,2022-12-29,Total,5563378,243,4.4
2021,48,2021-11-28,2021-12-04,2022-12-29,Female,2792505,95,3.4
2021,48,2021-11-28,2021-12-04,2022-12-29,Male,2770873,163,5.9
2021,48,2021-11-28,2021-12-04,2022-12-29,Total,5563378,258,4.6
2021,49,2021-12-05,2021-12-11,2022-12-29,Female,2792505,102,3.7
2021,49,2021-12-05,2021-12-11,2022-12-29,Male,2770873,153,5.5
2021,49,2021-12-05,2021-12-11,2022-12-29,Total,5563378,255,4.6
2021,50,2021-12-12,2021-12-18,2022-12-29,Female,2792505,114,4.1
2021,50,2021-12-12,2021-12-18,2022-12-29,Male,2770873,141,5.1
2021,50,2021-12-12,2021-12-18,2022-12-29,Total,5563378,255,4.6
2021,51,2021-12-19,2021-12-25,2022-12-29,Female,2792505,79,2.8
2021,51,2021-12-19,2021-12-25,2022-12-29,Male,2770873,129,4.7
2021,51,2021-12-19,2021-12-25,2022-12-29,Total,5563378,208,3.7
2021,52,2021-12-26,2022-01-01,2022-12-29,Female,2792505,86,3.1
2021,52,2021-12-26,2022-01-01,2022-12-29,Male,2770873,142,5.1
2021,52,2021-12-26,2022-01-01,2022-12-29,Total,5563378,228,4.1
2022,1,2022-01-02,2022-01-08,2022-12-29,Female,2792505,92,3.3
2022,1,2022-01-02,2022-01-08,2022-12-29,Male,2770873,120,4.3
2022,1,2022-01-02,2022-01-08,2022-12-29,Total,5563378,212,3.8
2022,2,2022-01-09,2022-01-15,2022-12-29,Female,2792505,70,2.5
2022,2,2022-01-09,2022-01-15,2022-12-29,Male,2770873,112,4
2022,2,2022-01-09,2022-01-15,2022-12-29,Total,5563378,182,3.3
2022,3,2022-01-16,2022-01-22,2022-12-29,Female,2792505,100,3.6
2022,3,2022-01-16,2022-01-22,2022-12-29,Male,2770873,114,4.1
2022,3,2022-01-16,2022-01-22,2022-12-29,Total,5563378,214,3.8
2022,4,2022-01-23,2022-01-29,2022-12-29,Female,2792505,108,3.9
2022,4,2022-01-23,2022-01-29,2022-12-29,Male,2770873,122,4.4
2022,4,2022-01-23,2022-01-29,2022-12-29,Total,5563378,230,4.1
2022,5,2022-01-30,2022-02-05,2022-12-29,Female,2792505,72,2.6
2022,5,2022-01-30,2022-02-05,2022-12-29,Male,2770873,104,3.8
2022,5,2022-01-30,2022-02-05,2022-12-29,Total,5563378,176,3.2
2022,6,2022-02-06,2022-02-12,2022-12-29,Female,2792505,66,2.4
2022,6,2022-02-06,2022-02-12,2022-12-29,Male,2770873,94,3.4
2022,6,2022-02-06,2022-02-12,2022-12-29,Total,5563378,160,2.9
2022,7,2022-02-13,2022-02-19,2022-12-29,Female,2792505,57,2
2022,7,2022-02-13,2022-02-19,2022-12-29,Male,2770873,69,2.5
2022,7,2022-02-13,2022-02-19,2022-12-29,Total,5563378,126,2.3
2022,8,2022-02-20,2022-02-26,2022-12-29,Female,2792505,39,1.4
2022,8,2022-02-20,2022-02-26,2022-12-29,Male,2770873,54,1.9
2022,8,2022-02-20,2022-02-26,2022-12-29,Total,5563378,93,1.7
2022,9,2022-02-27,2022-03-05,2022-12-29,Female,2792505,34,1.2
2022,9,2022-02-27,2022-03-05,2022-12-29,Male,2770873,24,0.9
2022,9,2022-02-27,2022-03-05,2022-12-29,Total,5563378,58,1
2022,10,2022-03-06,2022-03-12,2022-12-29,Female,2792505,19,0.7
2022,10,2022-03-06,2022-03-12,2022-12-29,Male,2770873,33,1.2
2022,10,2022-03-06,2022-03-12,2022-12-29,Total,5563378,52,0.9
2022,11,2022-03-13,2022-03-19,2022-12-29,Female,2792505,11,0.4
2022,11,2022-03-13,2022-03-19,2022-12-29,Male,2770873,14,0.5
2022,11,2022-03-13,2022-03-19,2022-12-29,Total,5563378,25,0.4
2022,12,2022-03-20,2022-03-26,2022-12-29,Female,2792505,16,0.6
2022,12,2022-03-20,2022-03-26,2022-12-29,Male,2770873,17,0.6
2022,12,2022-03-20,2022-03-26,2022-12-29,Total,5563378,33,0.6
2022,13,2022-03-27,2022-04-02,2022-12-29,Female,2792505,11,0.4
2022,13,2022-03-27,2022-04-02,2022-12-29,Male,2770873,11,0.4
2022,13,2022-03-27,2022-04-02,2022-12-29,Total,5563378,22,0.4
2022,14,2022-04-03,2022-04-09,2022-12-29,Female,2792505,9,0.3
2022,14,2022-04-03,2022-04-09,2022-12-29,Male,2770873,16,0.6
2022,14,2022-04-03,2022-04-09,2022-12-29,Total,5563378,25,0.4
2022,15,2022-04-10,2022-04-16,2022-12-29,Female,2792505,6,0.2
2022,15,2022-04-10,2022-04-16,2022-12-29,Male,2770873,10,0.4
2022,15,2022-04-10,2022-04-16,2022-12-29,Total,5563378,16,0.3
2022,16,2022-04-17,2022-04-23,2022-12-29,Female,2792505,9,0.3
2022,16,2022-04-17,2022-04-23,2022-12-29,Male,2770873,11,0.4
2022,16,2022-04-17,2022-04-23,2022-12-29,Total,5563378,20,0.4
2022,17,2022-04-24,2022-04-30,2022-12-29,Female,2792505,3,0.1
2022,17,2022-04-24,2022-04-30,2022-12-29,Male,2770873,9,0.3
2022,17,2022-04-24,2022-04-30,2022-12-29,Total,5563378,12,0.2
2022,18,2022-05-01,2022-05-07,2022-12-29,Female,2792505,11,0.4
2022,18,2022-05-01,2022-05-07,2022-12-29,Male,2770873,20,0.7
2022,18,2022-05-01,2022-05-07,2022-12-29,Total,5563378,31,0.6
2022,19,2022-05-08,2022-05-14,2022-12-29,Female,2792505,11,0.4
2022,19,2022-05-08,2022-05-14,2022-12-29,Male,2770873,24,0.9
2022,19,2022-05-08,2022-05-14,2022-12-29,Total,5563378,35,0.6
2022,20,2022-05-15,2022-05-21,2022-12-29,Female,2792505,14,0.5
2022,20,2022-05-15,2022-05-21,2022-12-29,Male,2770873,17,0.6
2022,20,2022-05-15,2022-05-21,2022-12-29,Total,5563378,31,0.6
2022,21,2022-05-22,2022-05-28,2022-12-29,Female,2792505,23,0.8
2022,21,2022-05-22,2022-05-28,2022-12-29,Male,2770873,28,1
2022,21,2022-05-22,2022-05-28,2022-12-29,Total,5563378,51,0.9
2022,22,2022-05-29,2022-06-04,2022-12-29,Female,2792505,21,0.8
2022,22,2022-05-29,2022-06-04,2022-12-29,Male,2770873,20,0.7
